station_name,longitude,latitude,metro_name,id
汉口北,114.329481,30.711953,1号线,1
滠口新城,114.342372,30.684553,1号线,2
滕子岗,114.341474,30.674527,1号线,3
堤角,114.338273,30.665863,1号线,4
新荣,114.334533,30.655893,1号线,5
丹水池,114.330017,30.643386,1号线,6
徐州新村,114.322936,30.631171,1号线,7
二七路,114.318749,30.625032,1号线,8
头道街,114.313923,30.617818,1号线,9
黄浦路,114.308156,30.608404,1号线,10
三阳路,114.301348,30.598718,1号线,11
大智路,114.294967,30.592506,1号线,12
循礼门,114.285992,30.585234,1号线,13
友谊路,114.278415,30.580865,1号线,14
利济北路,114.270119,30.577433,1号线,15
崇仁路,114.261901,30.573909,1号线,16
硚口路,114.250444,30.571547,1号线,17
太平洋,114.240741,30.574025,1号线,18
宗关,114.224975,30.580306,1号线,19
汉西一路,114.218822,30.585491,1号线,20
古田四路,114.211532,30.589347,1号线,21
古田三路,114.204740,30.593382,1号线,22
古田二路,114.196667,30.597536,1号线,23
古田一路,114.183062,30.604521,1号线,24
舵落口,114.169464,30.609907,1号线,25
竹叶海,114.163868,30.615064,1号线,26
额头湾,114.155941,30.618460,1号线,27
五环大道,114.138907,30.617699,1号线,28
东吴大道,114.128567,30.624968,1号线,29
码头潭公园,114.123644,30.631684,1号线,30
三店,114.120804,30.649056,1号线,31
泾河,114.120828,30.659055,1号线,32
天河机场,114.216618,30.770624,2号线,1
航空总部,114.227261,30.732481,2号线,2
宋家岗,114.237299,30.723137,2号线,3
巨龙大道,114.253845,30.711596,2号线,4
盘龙城,114.259544,30.700235,2号线,5
宏图大道,114.277759,30.670353,2号线,6
常青城,114.255060,30.658775,2号线,7
金银潭,114.242807,30.650412,2号线,8
常青花园,114.242435,30.640564,2号线,9
长港路,114.246021,30.627168,2号线,10
汉口火车站,114.254961,30.615485,2号线,11
范湖,114.261086,30.607717,2号线,12
王家墩东,114.263288,30.594245,2号线,13
青年路,114.264757,30.585762,2号线,14
中山公园,114.272845,30.581962,2号线,15
循礼门,114.285992,30.585234,2号线,16
江汉路,114.292306,30.579581,2号线,17
积玉桥,114.308681,30.561286,2号线,18
螃蟹岬,114.317476,30.553333,2号线,19
小龟山,114.326520,30.551108,2号线,20
洪山广场,114.335980,30.545667,2号线,21
中南路,114.332959,30.537528,2号线,22
宝通寺,114.341206,30.530349,2号线,23
街道口,114.353503,30.526597,2号线,24
广埠屯,114.364207,30.522437,2号线,25
虎泉,114.370478,30.512359,2号线,26
杨家湾,114.382732,30.505122,2号线,27
光谷广场,114.397169,30.505760,2号线,28
珞雄路,114.404837,30.506941,2号线,29
华中科技大学,114.414237,30.507410,2号线,30
光谷大道,114.423817,30.506535,2号线,31
佳园路,114.430905,30.500021,2号线,32
武汉东站,114.431755,30.486956,2号线,33
黄龙山路,114.430183,30.477512,2号线,34
金融港北,114.420416,30.461963,2号线,35
秀湖,114.421034,30.447747,2号线,36
藏龙东街,114.429655,30.437026,2号线,37
佛祖岭,114.439777,30.438671,2号线,38
宏图大道,114.277759,30.670353,3号线,1
市民之家,114.296806,30.661297,3号线,2
后湖大道,114.304127,30.650284,3号线,3
兴业路,114.304220,30.641133,3号线,4
二七小路,114.307806,30.628847,3号线,5
罗家庄,114.303976,30.623628,3号线,6
赵家条,114.297076,30.617866,3号线,7
惠济二路,114.291463,30.612937,3号线,8
香港路,114.284769,30.605235,3号线,9
菱角湖路,114.275790,30.604121,3号线,10
范湖,114.261086,30.607717,3号线,11
云飞路,114.252144,30.605164,3号线,12
武汉商务区,114.246879,30.597587,3号线,13
双墩,114.232026,30.586660,3号线,14
宗关,114.224975,30.580306,3号线,15
王家湾,114.210348,30.562121,3号线,16
龙阳村,114.206329,30.552879,3号线,17
陶家岭,114.201851,30.545591,3号线,18
四新大道,114.194631,30.535228,3号线,19
汉阳客运站,114.189054,30.527803,3号线,20
三角湖,114.179686,30.516507,3号线,21
体育中心,114.170981,30.506039,3号线,22
东风公司,114.166088,30.500107,3号线,23
沌阳大道,114.157139,30.489376,3号线,24
武汉火车站,114.424376,30.607375,4号线,1
杨春湖,114.416353,30.605300,4号线,2
工业四路,114.405848,30.607996,4号线,3
仁和路,114.389090,30.605179,4号线,4
园林路,114.378123,30.600224,4号线,5
罗家港,114.371540,30.592800,4号线,6
铁机路,114.368895,30.583897,4号线,7
岳家嘴,114.362010,30.577109,4号线,8
东亭,114.355809,30.570267,4号线,9
青鱼嘴,114.349884,30.563720,4号线,10
楚河汉街,114.341415,30.553848,4号线,11
洪山广场,114.335980,30.545667,4号线,12
中南路,114.332959,30.537528,4号线,13
梅苑小区,114.326149,30.530916,4号线,14
武昌火车站,114.316449,30.530624,4号线,15
首义路,114.308531,30.533612,4号线,16
复兴路,114.301225,30.534309,4号线,17
拦江路,114.269012,30.542917,4号线,18
钟家村,114.266158,30.549283,4号线,19
汉阳火车站,114.252849,30.551732,4号线,20
五里墩,114.241105,30.553977,4号线,21
七里庙,114.231208,30.556688,4号线,22
十里铺,114.219444,30.559320,4号线,23
王家湾,114.210348,30.562121,4号线,24
玉龙路,114.201403,30.564519,4号线,25
永安堂,114.188919,30.566446,4号线,26
孟家铺,114.173901,30.564990,4号线,27
黄金口,114.145387,30.564055,4号线,28
新天,114.126339,30.552199,4号线,29
集贤,114.112285,30.550087,4号线,30
知音,114.091765,30.556845,4号线,31
新农,114.074791,30.560522,4号线,32
凤凰路,114.060324,30.563412,4号线,33
蔡甸广场,114.041735,30.573054,4号线,34
临嶂大道,114.028590,30.571790,4号线,35
新庙村,114.009379,30.579826,4号线,36
柏林,113.994891,30.582229,4号线,37
金银湖公园,114.180894,30.636899,6号线,1
金银湖,114.204948,30.639308,6号线,2
园博园北,114.222603,30.637990,6号线,3
轻工大学,114.234406,30.639680,6号线,4
常青花园,114.242435,30.640564,6号线,5
杨汊湖,114.261081,30.635814,6号线,6
石桥,114.265265,30.630637,6号线,7
唐家墩,114.271276,30.617653,6号线,8
三眼桥,114.275743,30.610324,6号线,9
香港路,114.284769,30.605235,6号线,10
苗栗路,114.289952,30.598804,6号线,11
大智路,114.294967,30.592506,6号线,12
江汉路,114.292306,30.579581,6号线,13
六渡桥,114.284270,30.574991,6号线,14
汉正街,114.274677,30.571218,6号线,15
武胜路,114.268958,30.569459,6号线,16
琴台,114.266282,30.557559,6号线,17
钟家村,114.266158,30.549283,6号线,18
马鹦路,114.266799,30.537882,6号线,19
建港,114.259685,30.526609,6号线,20
前进村,114.253366,30.520144,6号线,21
国博中心北,114.242654,30.510581,6号线,22
国博中心南,114.236099,30.506042,6号线,23
老关村,114.225927,30.492907,6号线,24
江城大道,114.202216,30.496388,6号线,25
车城东路,114.179988,30.495551,6号线,26
东风公司,114.166088,30.500107,6号线,27
园博园北,114.222603,30.637990,7号线,1
园博园,114.225873,30.618327,7号线,2
常码头,114.234790,30.604632,7号线,3
武汉商务区,114.246879,30.597587,7号线,4
王家墩东,114.263288,30.594245,7号线,5
取水楼,114.274655,30.597634,7号线,6
香港路,114.284769,30.605235,7号线,7
三阳路,114.301348,30.598718,7号线,8
徐家棚,114.334143,30.591010,7号线,9
湖北大学,114.329470,30.577805,7号线,10
新河街,114.317111,30.562560,7号线,11
螃蟹岬,114.317476,30.553333,7号线,12
小东门,114.318461,30.545012,7号线,13
武昌火车站,114.316449,30.530624,7号线,14
瑞安街,114.314200,30.514908,7号线,15
建安街,114.313759,30.504025,7号线,16
湖工大,114.313384,30.483656,7号线,17
板桥,114.313464,30.474294,7号线,18
野芷湖,114.319502,30.460928,7号线,19
金潭路,114.284040,30.677200,8号线,1
宏图大道,114.277759,30.670353,8号线,2
塔子湖,114.280364,30.652594,8号线,3
中一路,114.281162,30.639903,8号线,4
竹叶山,114.287104,30.625318,8号线,5
赵家条,114.297076,30.617866,8号线,6
黄浦路,114.308156,30.608404,8号线,7
徐家棚,114.334143,30.591010,8号线,8
徐东,114.346233,30.587975,8号线,9
汪家墩,114.350076,30.585167,8号线,10
岳家嘴,114.362010,30.577109,8号线,11
梨园,114.370081,30.574832,8号线,12
省博湖北日报,114.365294,30.564871,,8号线,13
中南医院,114.357089,30.556807,8号线,14
水果湖,114.346090,30.551456,8号线,15
洪山路,114.343812,30.545492,8号线,16
小洪山,114.352367,30.535610,8号线,17
街道口,114.353503,30.526597,8号线,18
马房山,114.350368,30.515495,8号线,19
文治街,114.344308,30.500276,8号线,20
文昌路,114.329907,30.492006,8号线,21
省农科院,114.325930,30.481813,8号线,22
马湖,114.325040,30.471754,8号线,23
野芷湖,114.319502,30.460928,8号线,24
黄家湖地铁小镇,114.298049,30.436741,8号线,25
军运村,114.295024,30.427348,8号线,26
后湖大道,114.304127,30.650284,阳逻线,1
百步亭花园路,114.315485,30.654377,阳逻线,2
新荣客运站,114.332763,30.657595,阳逻线,3
幸福湾,114.344101,30.672102,阳逻线,4
朱家河,114.364654,30.680146,阳逻线,5
谌家矶,114.373120,30.683869,阳逻线,6
青龙,114.390414,30.705460,阳逻线,7
高车,114.409040,30.713601,阳逻线,8
武湖,114.429990,30.707017,阳逻线,9
沙口,114.477733,30.709197,阳逻线,10
军民村,114.515236,30.709985,阳逻线,11
武生院,114.525709,30.708536,阳逻线,12
阳逻,114.553039,30.703571,阳逻线,13
阳逻开发区,114.567772,30.701603,阳逻线,14
施岗,114.600916,30.706234,阳逻线,15
金台,114.619116,30.713671,阳逻线,16
光谷火车站,114.431755,30.486956,11号线东段,1
湖口,114.448734,30.487938,11号线东段,2
